Method,Day,Time Slot,Demand,Capacity,Shortage,Coverage (%)
GA,1,08:00-09:00,5,1,4,20.0%
GA,1,09:00-10:00,6,3,3,50.0%
GA,1,10:00-11:00,5,3,2,60.0%
GA,1,11:00-12:00,4,2,2,50.0%
GA,1,12:00-13:00,3,1,2,33.3%
GA,1,13:00-14:00,3,2,1,66.7%
GA,1,14:00-15:00,4,2,2,50.0%
GA,1,15:00-16:00,3,2,1,66.7%
GA,2,08:00-09:00,9,2,7,22.2%
GA,2,09:00-10:00,9,3,6,33.3%
GA,2,10:00-11:00,7,3,4,42.9%
GA,2,11:00-12:00,5,2,3,40.0%
GA,2,12:00-13:00,9,1,8,11.1%
GA,2,13:00-14:00,5,2,3,40.0%
GA,2,14:00-15:00,8,2,6,25.0%
GA,2,15:00-16:00,7,1,6,14.3%
intlinprog,1,08:00-09:00,5,2,3,40.0%
intlinprog,1,09:00-10:00,6,3,3,50.0%
intlinprog,1,10:00-11:00,5,3,2,60.0%
intlinprog,1,11:00-12:00,4,2,2,50.0%
intlinprog,1,12:00-13:00,3,1,2,33.3%
intlinprog,1,13:00-14:00,3,2,1,66.7%
intlinprog,1,14:00-15:00,4,2,2,50.0%
intlinprog,1,15:00-16:00,3,1,2,33.3%
intlinprog,2,08:00-09:00,9,2,7,22.2%
intlinprog,2,09:00-10:00,9,3,6,33.3%
intlinprog,2,10:00-11:00,7,3,4,42.9%
intlinprog,2,11:00-12:00,5,2,3,40.0%
intlinprog,2,12:00-13:00,9,1,8,11.1%
intlinprog,2,13:00-14:00,5,2,3,40.0%
intlinprog,2,14:00-15:00,8,2,6,25.0%
intlinprog,2,15:00-16:00,7,1,6,14.3%
